repo	agent_role	path	domain	memory_tier	process_stream	size_bytes	mtime_utc
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent/providers/deepseek.py	code	operational	routing	3579	2026-01-28T23:57:21Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent/providers/gemini.py	code	operational	routing	3348	2026-01-28T23:39:35Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent/providers/grok.py	code	operational	routing	3607	2026-01-28T23:51:37Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent/providers/ollama.py	code	operational	routing	4633	2026-01-28T23:25:30Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent/providers/openai.py	code	operational	routing	3327	2026-01-28T23:34:24Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent/registry.py	code	operational	routing	1928	2026-01-28T23:57:21Z
Roaudter-agent	routing_core	Roaudter-agent/src/roaudter_agent/router.py	code	operational	routing	6842	2026-01-29T14:54:43Z
Roaudter-agent	routing_core	Roaudter-agent/tests/conftest.py	code	operational	validation	337	2026-02-17T01:40:01Z
Roaudter-agent	routing_core	Roaudter-agent/tests/test_claude_missing_key_fallback.py	code	operational	validation	602	2026-01-28T23:45:15Z
Roaudter-agent	routing_core	Roaudter-agent/tests/test_cloud_quota_fallback.py	code	operational	validation	1468	2026-01-28T23:19:24Z
Roaudter-agent	routing_core	Roaudter-agent/tests/test_context_roundtrip.py	code	operational	validation	519	2026-01-29T12:30:20Z
Roaudter-agent	routing_core	Roaudter-agent/tests/test_deepseek_missing_key_fallback.py	code	operational	validation	716	2026-01-28T23:57:21Z
Roaudter-agent	routing_core	Roaudter-agent/tests/test_dry_run.py	code	operational	validation	88	2026-01-28T22:40:34Z
Roaudter-agent	routing_core	Roaudter-agent/tests/test_gemini_missing_key_fallback.py	code	operational	validation	634	2026-01-28T23:39:35Z
Roaudter-agent	routing_core	Roaudter-agent/tests/test_grok_missing_key_fallback.py	code	operational	validation	654	2026-01-28T23:51:37Z
Roaudter-agent	routing_core	Roaudter-agent/tests/test_health_cooldown.py	code	operational	validation	1259	2026-01-28T23:34:24Z
Roaudter-agent	routing_core	Roaudter-agent/tests/test_health_ttl.py	code	operational	validation	1069	2026-01-28T23:34:24Z
Roaudter-agent	routing_core	Roaudter-agent/tests/test_lam_entrypoint_contract.py	code	operational	validation	1458	2026-02-17T01:42:15Z
Roaudter-agent	routing_core	Roaudter-agent/tests/test_ollama_healthcheck.py	code	operational	validation	212	2026-01-28T22:40:34Z
Roaudter-agent	routing_core	Roaudter-agent/tests/test_openai_missing_key_fallback.py	code	operational	validation	553	2026-01-28T23:34:24Z
Roaudter-agent	routing_core	Roaudter-agent/tests/test_provider_hint_profiles.py	code	operational	validation	1135	2026-01-29T00:02:42Z
Roaudter-agent	routing_core	Roaudter-agent/tests/test_registry_smoke.py	code	operational	validation	333	2026-01-28T22:40:34Z
Roaudter-agent	routing_core	Roaudter-agent/tests/test_router_fallback.py	code	operational	validation	1105	2026-01-28T23:19:24Z
Roaudter-agent	routing_core	Roaudter-agent/tests/test_runtime_smoke.py	code	operational	validation	49	2026-02-13T07:33:07Z
